algorithm,name,description,qgis_output_type
gdal:colorrelief,OUTPUT,Color relief,outputRaster
gdal:contour,OUTPUT,Contours,outputVector
gdal:contour_polygon,OUTPUT,Contours,outputVector
gdal:convertformat,OUTPUT,Converted,outputVector
gdal:dissolve,OUTPUT,Dissolved,outputVector
gdal:executesql,OUTPUT,SQL result,outputVector
gdal:extractprojection,PRJ_FILE,ESRI Shapefile prj file,outputFile
gdal:extractprojection,WORLD_FILE,World file,outputFile
gdal:fillnodata,OUTPUT,Filled,outputRaster
gdal:gdal2tiles,OUTPUT,Output directory,outputFolder
gdal:gdal2xyz,OUTPUT,XYZ ASCII file,outputFile
gdal:gdalinfo,OUTPUT,Layer information,outputHtml
gdal:gridaverage,OUTPUT,Interpolated (moving average),outputRaster
gdal:griddatametrics,OUTPUT,Interpolated (data metrics),outputRaster
gdal:gridinversedistance,OUTPUT,Interpolated (IDW),outputRaster
gdal:gridinversedistancenearestneighbor,OUTPUT,Interpolated (IDW with NN search),outputRaster
gdal:gridlinear,OUTPUT,Interpolated (Linear),outputRaster
gdal:gridnearestneighbor,OUTPUT,Interpolated (Nearest neighbor),outputRaster
gdal:hillshade,OUTPUT,Hillshade,outputRaster
gdal:merge,OUTPUT,Merged,outputRaster
gdal:nearblack,OUTPUT,Nearblack,outputRaster
gdal:offsetcurve,OUTPUT,Offset curve,outputVector
gdal:ogrinfo,OUTPUT,Layer information,outputHtml
gdal:onesidebuffer,OUTPUT,One-sided buffer,outputVector
gdal:overviews,OUTPUT,Pyramidized,outputRaster
gdal:pansharp,OUTPUT,Output,outputRaster
gdal:pcttorgb,OUTPUT,PCT to RGB,outputRaster
gdal:pointsalonglines,OUTPUT,Points along lines,outputVector
gdal:polygonize,OUTPUT,Vectorized,outputVector
gdal:proximity,OUTPUT,Proximity map,outputRaster
gdal:rastercalculator,OUTPUT,Calculated,outputRaster
gdal:rasterize,OUTPUT,Rasterized,outputRaster
gdal:rasterize_over,OUTPUT,Rasterized,outputRaster
gdal:rasterize_over_fixed_value,OUTPUT,Rasterized,outputRaster
gdal:rearrange_bands,OUTPUT,Converted,outputRaster
gdal:retile,OUTPUT,Output directory,outputFolder
gdal:retile,OUTPUT_CSV,CSV file containing the tile(s) georeferencing information,outputFile
gdal:rgbtopct,OUTPUT,RGB to PCT,outputRaster
gdal:roughness,OUTPUT,Roughness,outputRaster
gdal:sieve,OUTPUT,Sieved,outputRaster
gdal:slope,OUTPUT,Slope,outputRaster
gdal:tileindex,OUTPUT,Tile index,outputVector
gdal:tpitopographicpositionindex,OUTPUT,Topographic Position Index,outputRaster
gdal:translate,OUTPUT,Converted,outputRaster
gdal:triterrainruggednessindex,OUTPUT,Terrain Ruggedness Index,outputRaster
gdal:viewshed,OUTPUT,Output,outputRaster
gdal:warpreproject,OUTPUT,Reprojected,outputRaster
grass7:g.extension.list,html,List of addons,outputHtml
grass7:i.albedo,output,Albedo,outputRaster
grass7:i.aster.toar,output,Output Directory,outputFolder
grass7:i.atcorr,output,Atmospheric correction,outputRaster
grass7:i.biomass,output,Biomass,outputRaster
grass7:i.cca,output,Output Directory,outputFolder
grass7:i.cluster,reportfile,Final Report File,outputFile
grass7:i.cluster,signaturefile,Signature File,outputFile
grass7:i.colors.enhance,blueoutput,Enhanced Blue,outputRaster
grass7:i.colors.enhance,greenoutput,Enhanced Green,outputRaster
grass7:i.colors.enhance,redoutput,Enhanced Red,outputRaster
grass7:i.eb.eta,output,Evapotranspiration,outputRaster
grass7:i.eb.evapfr,evaporativefraction,Evaporative Fraction,outputRaster
grass7:i.eb.evapfr,soilmoisture,Root Zone Soil Moisture,outputRaster
grass7:i.eb.hsebal01.coords,output,Sensible Heat Flux,outputRaster
grass7:i.eb.netrad,output,Net Radiation,outputRaster
grass7:i.eb.soilheatflux,output,Soil Heat Flux,outputRaster
grass7:i.emissivity,output,Emissivity,outputRaster
grass7:i.evapo.mh,output,Evapotranspiration,outputRaster
grass7:i.evapo.pm,output,Evapotranspiration,outputRaster
grass7:i.evapo.pt,output,Evapotranspiration,outputRaster
grass7:i.evapo.time,output,Temporal integration,outputRaster
grass7:i.fft,imaginary,Imaginary part arrays,outputRaster
grass7:i.fft,real,Real part arrays,outputRaster
grass7:i.gensig,signaturefile,Signature File,outputFile
grass7:i.gensigset,signaturefile,Signature File,outputFile
grass7:i.group,group,Multiband raster,outputRaster
grass7:i.his.rgb,blue,Blue,outputRaster
grass7:i.his.rgb,green,Green,outputRaster
grass7:i.his.rgb,red,Red,outputRaster
grass7:i.ifft,output,Inverse Fast Fourier Transform,outputRaster
grass7:i.image.mosaic,output,Mosaic Raster,outputRaster
grass7:i.in.spotvgt,output,SPOT NDVI Raster,outputRaster
grass7:i.landsat.acca,output,ACCA Raster,outputRaster
grass7:i.landsat.toar,output,Output Directory,outputFolder
grass7:i.maxlik,output,Classification,outputRaster
grass7:i.maxlik,reject,Reject Threshold,outputRaster
grass7:i.modis.qc,output,QC Classification,outputRaster
grass7:i.oif,output,OIF File,outputFile
grass7:i.pansharpen,blueoutput,Enhanced Blue,outputRaster
grass7:i.pansharpen,greenoutput,Enhanced Green,outputRaster
grass7:i.pansharpen,redoutput,Enhanced Red,outputRaster
grass7:i.pca,output,Output Directory,outputFolder
grass7:i.rgb.his,hue,Hue,outputRaster
grass7:i.rgb.his,intensity,Intensity,outputRaster
grass7:i.rgb.his,saturation,Saturation,outputRaster
grass7:i.segment,goodness,Goodness Raster,outputRaster
grass7:i.segment,output,Segmented Raster,outputRaster
grass7:i.smap,goodness,Goodness_of_fit,outputRaster
grass7:i.smap,output,Classification,outputRaster
grass7:i.tasscap,output,Output Directory,outputFolder
grass7:i.topo.coor.ill,output,Illumination Model,outputRaster
grass7:i.topo.corr,output,Output Directory,outputFolder
grass7:i.vi,output,Vegetation Index,outputRaster
grass7:i.zc,output,Zero crossing,outputRaster
grass7:m.cogo,output,Output text file,outputFile
grass7:r.basins.fill,output,Watersheds,outputRaster
grass7:r.blend.combine,output,Blended,outputRaster
grass7:r.blend.rgb,output_blue,Blended Blue,outputRaster
grass7:r.blend.rgb,output_green,Blended Green,outputRaster
grass7:r.blend.rgb,output_red,Blended Red,outputRaster
grass7:r.buffer,output,Buffer,outputRaster
grass7:r.buffer.lowmem,output,Buffer,outputRaster
grass7:r.carve,output,Modified elevation,outputRaster
grass7:r.carve,points,Adjusted stream points,outputVector
grass7:r.category,output,Category,outputRaster
grass7:r.category.out,html,Category,outputHtml
grass7:r.circle,output,Circles,outputRaster
grass7:r.clump,output,Clumps,outputRaster
grass7:r.coin,html,Coincidence report,outputHtml
grass7:r.colors,output_dir,Output Directory,outputFolder
grass7:r.colors.out,rules,Color Table,outputFile
grass7:r.colors.stddev,output,Stddev Colors,outputRaster
grass7:r.composite,output,Composite,outputRaster
grass7:r.contour,output,Contours,outputVector
grass7:r.cost,nearest,Cost allocation map,outputRaster
grass7:r.cost,outdir,Movement directions,outputRaster
grass7:r.cost,output,Cumulative cost,outputRaster
grass7:r.covar,html,Covariance report,outputHtml
grass7:r.cross,output,Cross product,outputRaster
grass7:r.describe,html,Categories,outputHtml
grass7:r.distance,html,Distance,outputHtml
grass7:r.drain,drain,Drain,outputVector
grass7:r.drain,output,Least cost path,outputRaster
grass7:r.fill.dir,areas,Problem areas,outputRaster
grass7:r.fill.dir,direction,Flow direction,outputRaster
grass7:r.fill.dir,output,Depressionless DEM,outputRaster
grass7:r.fill.stats,output,Output Map,outputRaster
grass7:r.fill.stats,uncertainty,Uncertainty Map,outputRaster
grass7:r.fillnulls,output,Filled,outputRaster
grass7:r.flow,flowaccumulation,Flow accumulation,outputRaster
grass7:r.flow,flowlength,Flow path length,outputRaster
grass7:r.flow,flowline,Flow line,outputVector
grass7:r.geomorphon,forms,Most common geomorphic forms,outputRaster
grass7:r.grow,output,Expanded,outputRaster
grass7:r.grow.distance,distance,Distance,outputRaster
grass7:r.grow.distance,value,Value of nearest cell,outputRaster
grass7:r.gwflow,budget,Groundwater budget for each cell [m^3/s],outputRaster
grass7:r.gwflow,output,Groundwater flow,outputRaster
grass7:r.gwflow,vx,Groundwater filter velocity vector part in x direction [m/s],outputRaster
grass7:r.gwflow,vy,Groundwater filter velocity vector part in y direction [m/s],outputRaster
grass7:r.his,blue,Blue,outputRaster
grass7:r.his,green,Green,outputRaster
grass7:r.his,red,Red,outputRaster
grass7:r.horizon,output,Folder to get horizon rasters,outputFolder
grass7:r.horizon.height,html,Horizon,outputHtml
grass7:r.in.lidar,output,Lidar Raster,outputRaster
grass7:r.in.lidar.info,html,LAS information,outputHtml
grass7:r.info,html,Basic information,outputHtml
grass7:r.kappa,output,Error matrix and kappa,outputFile
grass7:r.lake,lake,Lake,outputRaster
grass7:r.latlong,output,LatLong,outputRaster
grass7:r.li.cwed,output,CWED,outputRaster
grass7:r.li.cwed.ascii,output_txt,CWED,outputFile
grass7:r.li.dominance,output,Dominance,outputRaster
grass7:r.li.dominance.ascii,output_txt,Dominance,outputFile
grass7:r.li.edgedensity,output,Edge Density,outputRaster
grass7:r.li.edgedensity.ascii,output_txt,Edge Density,outputFile
grass7:r.li.mpa,output,Mean Pixel Attribute,outputRaster
grass7:r.li.mpa.ascii,output_txt,Mean Pixel Attribute,outputFile
grass7:r.li.mps,output,Mean Patch Size,outputRaster
grass7:r.li.mps.ascii,output_txt,Mean Patch Size,outputFile
grass7:r.li.padcv,output,PADCV,outputRaster
grass7:r.li.padcv.ascii,output_txt,PADCV,outputFile
grass7:r.li.padrange,output,Pad Range,outputRaster
grass7:r.li.padrange.ascii,output_txt,Pad Range,outputFile
grass7:r.li.padsd,output,Patch Area SD,outputRaster
grass7:r.li.padsd.ascii,output_txt,Patch Area SD,outputFile
grass7:r.li.patchdensity,output,Patch Density,outputRaster
grass7:r.li.patchdensity.ascii,output_txt,Patch Density,outputFile
grass7:r.li.patchnum,output,Patch Number,outputRaster
grass7:r.li.patchnum.ascii,output_txt,Patch Number,outputFile
grass7:r.li.pielou,output,Pielou,outputRaster
grass7:r.li.pielou.ascii,output_txt,Pielou,outputFile
grass7:r.li.renyi,output,Renyi,outputRaster
grass7:r.li.renyi.ascii,output_txt,Renyi,outputFile
grass7:r.li.richness,output,Richness,outputRaster
grass7:r.li.richness.ascii,output_txt,Richness,outputFile
grass7:r.li.shannon,output,Shannon,outputRaster
grass7:r.li.shannon.ascii,output_txt,Shannon,outputFile
grass7:r.li.shape,output,Shape,outputRaster
grass7:r.li.shape.ascii,output_txt,Shape,outputFile
grass7:r.li.simpson,output,Simpson,outputRaster
grass7:r.li.simpson.ascii,output_txt,Simpson,outputFile
grass7:r.mapcalc.simple,output,Calculated,outputRaster
grass7:r.mask.rast,output,Masked,outputRaster
grass7:r.mask.vect,output,Masked,outputRaster
grass7:r.mfilter,output,Filtered,outputRaster
grass7:r.mode,output,Mode,outputRaster
grass7:r.neighbors,output,Neighbors,outputRaster
grass7:r.null,output,NullRaster,outputRaster
grass7:r.out.ascii,output,GRASS Ascii,outputFile
grass7:r.out.gridatb,output,GRIDATB,outputFile
grass7:r.out.mat,output,MAT File,outputFile
grass7:r.out.mpeg,output,MPEG file,outputFile
grass7:r.out.png,output,PNG File,outputFile
grass7:r.out.pov,output,Name of output povray file (TGA height field file),outputFile
grass7:r.out.ppm,output,PPM,outputFile
grass7:r.out.ppm3,output,Name for new PPM file,outputFile
grass7:r.out.vrml,output,VRML,outputFile
grass7:r.out.vtk,output,VTK File,outputFile
grass7:r.out.xyz,output,XYZ File,outputFile
grass7:r.param.scale,output,Morphometric parameter,outputRaster
grass7:r.patch,output,Patched,outputRaster
grass7:r.path,raster_path,Name for output raster path map,outputRaster
grass7:r.path,vector_path,Name for output vector path map,outputVector
grass7:r.path.coordinate.txt,raster_path,Name for output raster path map,outputRaster
grass7:r.path.coordinate.txt,vector_path,Name for output vector path map,outputVector
grass7:r.plane,output,Plane,outputRaster
grass7:r.profile,output,Profile,outputFile
grass7:r.proj,output,Reprojected raster,outputRaster
grass7:r.quant,output,Quantized raster(s),outputFolder
grass7:r.quantile,file,Quantiles,outputHtml
grass7:r.quantile.plain,file,Quantiles,outputFile
grass7:r.random,raster,Random raster,outputRaster
grass7:r.random,vector,Random vector,outputVector
grass7:r.random.cells,output,Random,outputRaster
grass7:r.random.surface,output,Random_Surface,outputRaster
grass7:r.reclass,output,Reclassified,outputRaster
grass7:r.reclass.area,output,Reclassified,outputRaster
grass7:r.recode,output,Recoded,outputRaster
grass7:r.regression.line,html,Regression coefficients,outputHtml
grass7:r.regression.multi,estimates,Estimates Map,outputRaster
grass7:r.regression.multi,html,Regression coefficients,outputHtml
grass7:r.regression.multi,residuals,Residual Map,outputRaster
grass7:r.relief,output,Output shaded relief layer,outputRaster
grass7:r.relief.scaling,output,Output shaded relief layer,outputRaster
grass7:r.report,output,Name for output file to hold the report,outputFile
grass7:r.resamp.bspline,grid,Interpolation Grid,outputVector
grass7:r.resamp.bspline,output,Resampled BSpline,outputRaster
grass7:r.resamp.filter,output,Resampled Filter,outputRaster
grass7:r.resamp.interp,output,Resampled interpolated,outputRaster
grass7:r.resamp.rst,aspect,Aspect raster,outputRaster
grass7:r.resamp.rst,elevation,Resampled RST,outputRaster
grass7:r.resamp.rst,mcurvature,Mean curvature raster,outputRaster
grass7:r.resamp.rst,pcurvature,Profile curvature raster,outputRaster
grass7:r.resamp.rst,slope,Slope raster,outputRaster
grass7:r.resamp.rst,tcurvature,Tangential curvature raster,outputRaster
grass7:r.resamp.stats,output,Resampled aggregated,outputRaster
grass7:r.resample,output,Resampled NN,outputRaster
grass7:r.rescale,output,Rescaled,outputRaster
grass7:r.rescale.eq,output,Rescaled equalized,outputRaster
grass7:r.rgb,blue,Blue,outputRaster
grass7:r.rgb,green,Green,outputRaster
grass7:r.rgb,red,Red,outputRaster
grass7:r.ros,base_ros,Base ROS,outputRaster
grass7:r.ros,direction_ros,Direction ROS,outputRaster
grass7:r.ros,max_ros,Max ROS,outputRaster
grass7:r.ros,spotting_distance,Spotting Distance,outputRaster
grass7:r.series,output,Aggregated,outputRaster
grass7:r.series.accumulate,output,Accumulated,outputRaster
grass7:r.series.interp,output_dir,Interpolated rasters,outputFolder
grass7:r.shade,output,Shaded,outputRaster
grass7:r.sim.sediment,erosion_deposition,Erosion-deposition [kg/m2s],outputRaster
grass7:r.sim.sediment,logfile,Name for sampling points output text file.,outputFile
grass7:r.sim.sediment,sediment_concentration,Sediment concentration [particle/m3],outputRaster
grass7:r.sim.sediment,sediment_flux,Sediment flux [kg/ms],outputRaster
grass7:r.sim.sediment,tlimit_erosion_deposition,Transport limited erosion-deposition [kg/m2s],outputRaster
grass7:r.sim.sediment,transport_capacity,Transport capacity [kg/ms],outputRaster
grass7:r.sim.sediment,walkers_output,Name of the output walkers vector points layer,outputVector
grass7:r.sim.water,depth,Water depth [m],outputRaster
grass7:r.sim.water,discharge,Water discharge [m3/s],outputRaster
grass7:r.sim.water,error,Simulation error [m],outputRaster
grass7:r.sim.water,logfile,Name for sampling points output text file.,outputFile
grass7:r.sim.water,walkers_output,Name of the output walkers vector points layer,outputVector
grass7:r.slope.aspect,aspect,Aspect,outputRaster
grass7:r.slope.aspect,dx,First order partial derivative dx (E-W slope),outputRaster
grass7:r.slope.aspect,dxx,Second order partial derivative dxx,outputRaster
grass7:r.slope.aspect,dxy,Second order partial derivative dxy,outputRaster
grass7:r.slope.aspect,dy,First order partial derivative dy (N-S slope),outputRaster
grass7:r.slope.aspect,dyy,Second order partial derivative dyy,outputRaster
grass7:r.slope.aspect,pcurvature,Profile curvature,outputRaster
grass7:r.slope.aspect,slope,Slope,outputRaster
grass7:r.slope.aspect,tcurvature,Tangential curvature,outputRaster
grass7:r.solute.transport,output,Solute Transport,outputRaster
grass7:r.solute.transport,vx,Calculate and store the groundwater filter velocity vector part in x direction [m/s],outputRaster
grass7:r.solute.transport,vy,Calculate and store the groundwater filter velocity vector part in y direction [m/s],outputRaster
grass7:r.spread,output,Spread Time,outputRaster
grass7:r.spread,x_output,X Back Coordinates,outputRaster
grass7:r.spread,y_output,Y Back Coordinates,outputRaster
grass7:r.spreadpath,output,Backward least cost,outputRaster
grass7:r.statistics,routput,Statistics,outputRaster
grass7:r.stats,html,Statistics,outputHtml
grass7:r.stats.quantile.out,file,Statistics File,outputFile
grass7:r.stats.quantile.rast,output,Output Directory,outputFolder
grass7:r.stats.zonal,output,Resultant raster,outputRaster
grass7:r.stream.extract,direction,Flow direction,outputRaster
grass7:r.stream.extract,stream_raster,Unique stream ids (rast),outputRaster
grass7:r.stream.extract,stream_vector,Unique stream ids (vect),outputVector
grass7:r.sun.incidout,beam_rad,Beam irradiance [W.m-2],outputRaster
grass7:r.sun.incidout,diff_rad,Diffuse irradiance [W.m-2],outputRaster
grass7:r.sun.incidout,glob_rad,Global (total) irradiance/irradiation [W.m-2],outputRaster
grass7:r.sun.incidout,incidout,incidence angle raster map,outputRaster
grass7:r.sun.incidout,refl_rad,Ground reflected irradiance [W.m-2],outputRaster
grass7:r.sun.insoltime,beam_rad,Irradiation raster map [Wh.m-2.day-1],outputRaster
grass7:r.sun.insoltime,diff_rad,Irradiation raster map [Wh.m-2.day-1],outputRaster
grass7:r.sun.insoltime,glob_rad,Irradiance/irradiation raster map [Wh.m-2.day-1],outputRaster
grass7:r.sun.insoltime,insol_time,Insolation time [h] ,outputRaster
grass7:r.sun.insoltime,refl_rad,Irradiation raster map [Wh.m-2.day-1],outputRaster
grass7:r.sunhours,azimuth,Solar Azimuth Angle,outputRaster
grass7:r.sunhours,elevation,Solar Elevation Angle,outputRaster
grass7:r.sunhours,sunhour,Sunshine Hours,outputRaster
grass7:r.sunmask.datetime,output,Shadows,outputRaster
grass7:r.sunmask.position,output,Shadows,outputRaster
grass7:r.surf.area,html,Area,outputHtml
grass7:r.surf.contour,output,DTM from contours,outputRaster
grass7:r.surf.fractal,output,Fractal Surface,outputRaster
grass7:r.surf.gauss,output,Gaussian deviates,outputRaster
grass7:r.surf.idw,output,Interpolated IDW,outputRaster
grass7:r.surf.random,output,Random,outputRaster
grass7:r.terraflow,accumulation,Flow accumulation,outputRaster
grass7:r.terraflow,direction,Flow direction,outputRaster
grass7:r.terraflow,filled,Filled (flooded) elevation,outputRaster
grass7:r.terraflow,stats,Runtime statistics,outputFile
grass7:r.terraflow,swatershed,Sink-watershed,outputRaster
grass7:r.terraflow,tci,Topographic convergence index (tci),outputRaster
grass7:r.texture,output,Texture files directory,outputFolder
grass7:r.thin,output,Thinned,outputRaster
grass7:r.tile,output,Tiles Directory,outputFolder
grass7:r.tileset,html,Tileset,outputHtml
grass7:r.to.vect,output,Vectorized,outputVector
grass7:r.topidx,output,Topographic index,outputRaster
grass7:r.topmodel,output,TOPMODEL output,outputFile
grass7:r.topmodel.topidxstats,outtopidxstats,TOPMODEL topographic index statistics file,outputFile
grass7:r.transect,html,Transect file,outputHtml
grass7:r.univar,output,Univariate results,outputFile
grass7:r.uslek,output,USLE R Raster,outputRaster
grass7:r.usler,output,USLE R Raster,outputRaster
grass7:r.viewshed,output,Intervisibility,outputRaster
grass7:r.volume,centroids,Centroids,outputVector
grass7:r.walk.coords,outdir,Movement Directions,outputRaster
grass7:r.walk.coords,output,Cumulative cost,outputRaster
grass7:r.walk.points,outdir,Movement Directions,outputRaster
grass7:r.walk.points,output,Cumulative cost,outputRaster
grass7:r.walk.rast,outdir,Movement Directions,outputRaster
grass7:r.walk.rast,output,Cumulative cost,outputRaster
grass7:r.water.outlet,output,Basin,outputRaster
grass7:r.watershed,accumulation,Number of cells that drain through each cell,outputRaster
grass7:r.watershed,basin,Unique label for each watershed basin,outputRaster
grass7:r.watershed,drainage,Drainage direction,outputRaster
grass7:r.watershed,half_basin,Half-basins,outputRaster
