algorithm,name,description,qgis_type
gdal:cliprasterbymasklayer,OPTIONS,Additional creation options,string
gdal:cliprasterbymasklayer,DATA_TYPE,Output data type,enum
gdal:cliprasterbymasklayer,EXTRA,Additional command-line parameters,string
gdal:clipvectorbyextent,INPUT,Input layer,source
gdal:clipvectorbyextent,EXTENT,Clipping extent,extent
gdal:clipvectorbyextent,OPTIONS,Additional creation options,string
gdal:clipvectorbypolygon,INPUT,Input layer,source
gdal:clipvectorbypolygon,MASK,Mask layer,source
gdal:clipvectorbypolygon,OPTIONS,Additional creation options,string
gdal:colorrelief,INPUT,Input layer,raster
gdal:colorrelief,BAND,Band number,band
gdal:colorrelief,COMPUTE_EDGES,Compute edges,boolean
gdal:colorrelief,COLOR_TABLE,Color configuration file,file
gdal:colorrelief,MATCH_MODE,Matching mode,enum
gdal:colorrelief,OPTIONS,Additional creation options,string
gdal:colorrelief,EXTRA,Additional command-line parameters,string
gdal:colorrelief,OUTPUT,Color relief,rasterDestination
gdal:contour,INPUT,Input layer,raster
gdal:contour,BAND,Band number,band
gdal:contour,INTERVAL,Interval between contour lines,number
gdal:contour,CREATE_3D,Produce 3D vector,boolean
gdal:contour,IGNORE_NODATA,Treat all raster values as valid,boolean
gdal:contour,OFFSET,Offset from zero relative to which to interpret intervals,number
gdal:contour,EXTRA,Additional command-line parameters,string
gdal:contour,OUTPUT,Contours,vectorDestination
gdal:contour_polygon,INPUT,Input layer,raster
gdal:contour_polygon,BAND,Band number,band
gdal:contour_polygon,INTERVAL,Interval between contour lines,number
gdal:contour_polygon,CREATE_3D,Produce 3D vector,boolean
gdal:contour_polygon,IGNORE_NODATA,Treat all raster values as valid,boolean
gdal:contour_polygon,OFFSET,Offset from zero relative to which to interpret intervals,number
gdal:contour_polygon,EXTRA,Additional command-line parameters,string
gdal:contour_polygon,FIELD_NAME_MIN,Attribute name for minimum elevation of contour polygon,string
gdal:contour_polygon,FIELD_NAME_MAX,Attribute name for maximum elevation of contour polygon,string
gdal:contour_polygon,OUTPUT,Contours,vectorDestination
gdal:convertformat,INPUT,Input layer,source
gdal:convertformat,OPTIONS,Additional creation options,string
gdal:convertformat,OUTPUT,Converted,vectorDestination
gdal:dissolve,INPUT,Input layer,source
gdal:dissolve,FIELD,Dissolve field,field
gdal:dissolve,GEOMETRY,Geometry column name,string
gdal:dissolve,EXPLODE_COLLECTIONS,Produce one feature for each geometry in any kind of geometry collection in the source file,boolean
gdal:dissolve,KEEP_ATTRIBUTES,Keep input attributes,boolean
gdal:dissolve,COUNT_FEATURES,Count dissolved features,boolean
gdal:dissolve,COMPUTE_AREA,Compute area and perimeter of dissolved features,boolean
gdal:dissolve,STATISTICS_ATTRIBUTE,Numeric attribute to calculate statistics on,field
gdal:dissolve,OPTIONS,Additional creation options,string
gdal:dissolve,OUTPUT,Dissolved,vectorDestination
gdal:executesql,INPUT,Input layer,source
gdal:executesql,SQL,SQL expression,string
gdal:executesql,DIALECT,SQL dialect,enum
gdal:executesql,OPTIONS,Additional creation options,string
gdal:executesql,OUTPUT,SQL result,vectorDestination
gdal:extractprojection,INPUT,Input file,raster
gdal:extractprojection,PRJ_FILE_CREATE,Create also .prj file,boolean
gdal:fillnodata,INPUT,Input layer,raster
gdal:fillnodata,BAND,Band number,band
gdal:fillnodata,ITERATIONS,Number of smoothing iterations to run after the interpolation,number
gdal:fillnodata,NO_MASK,Do not use the default validity mask for the input band,boolean
gdal:fillnodata,MASK_LAYER,Validity mask,raster
gdal:fillnodata,OPTIONS,Additional creation options,string
gdal:fillnodata,EXTRA,Additional command-line parameters,string
gdal:fillnodata,OUTPUT,Filled,rasterDestination
gdal:gdal2tiles,INPUT,Input layer,raster
gdal:gdal2tiles,PROFILE,Tile cutting profile,enum
gdal:gdal2tiles,ZOOM,Zoom levels to render,string
gdal:gdal2tiles,VIEWER,Web viewer to generate,enum
gdal:gdal2tiles,TITLE,Title of the map,string
gdal:gdal2tiles,COPYRIGHT,Copyright of the map,string
gdal:gdal2tiles,RESAMPLING,Resampling method,enum
gdal:gdal2tiles,SOURCE_CRS,The spatial reference system used for the source input data,crs
gdal:gdal2tiles,NODATA,Transparency value to assign to the input data,number
gdal:gdal2tiles,URL,URL address where the generated tiles are going to be published,string
gdal:gdal2tiles,RESUME,Generate only missing files,boolean
gdal:gdal2tiles,KML,Generate KML for Google Earth,boolean
gdal:gdal2tiles,OUTPUT,Output directory,folderDestination
gdal:gdal2xyz,INPUT,Input layer,raster
gdal:gdal2xyz,BAND,Band number,band
gdal:gdal2xyz,CSV,Output comma-separated values,boolean
gdal:gdal2xyz,OUTPUT,XYZ ASCII file,fileDestination
gdal:gdalinfo,INPUT,Input layer,raster
gdal:gdalinfo,NOGCP,Suppress GCP info,boolean
gdal:gdalinfo,NO_METADATA,Suppress metadata info,boolean
gdal:gdalinfo,EXTRA,Additional command-line parameters,string
gdal:gdalinfo,OUTPUT,Layer information,fileDestination
gdal:gridaverage,INPUT,Point layer,source
gdal:gridaverage,Z_FIELD,Z value from field,field
gdal:gridaverage,RADIUS_1,The first radius of search ellipse,number
gdal:gridaverage,RADIUS_2,The second radius of search ellipse,number
gdal:gridaverage,MIN_POINTS,Minimum number of data points to use,number
gdal:gridaverage,NODATA,NODATA marker to fill empty points,number
gdal:gridaverage,OPTIONS,Additional creation options,string
gdal:gridaverage,EXTRA,Additional command-line parameters,string
gdal:gridaverage,DATA_TYPE,Output data type,enum
gdal:griddatametrics,INPUT,Point layer,source
gdal:griddatametrics,Z_FIELD,Z value from field,field
gdal:griddatametrics,METRIC,Data metric to use,enum
gdal:griddatametrics,RADIUS_1,The first radius of search ellipse,number
gdal:griddatametrics,RADIUS_2,The second radius of search ellipse,number
gdal:griddatametrics,MIN_POINTS,Minimum number of data points to use,number
gdal:griddatametrics,NODATA,NODATA marker to fill empty points,number
gdal:griddatametrics,OPTIONS,Additional creation options,string
gdal:griddatametrics,EXTRA,Additional command-line parameters,string
gdal:griddatametrics,DATA_TYPE,Output data type,enum
gdal:gridinversedistance,INPUT,Point layer,source
gdal:gridinversedistance,Z_FIELD,Z value from field,field
gdal:gridinversedistance,POWER,Weighting power,number
gdal:gridinversedistance,SMOOTHING,Smoothing,number
gdal:gridinversedistance,RADIUS_1,The first radius of search ellipse,number
gdal:gridinversedistance,RADIUS_2,The second radius of search ellipse,number
gdal:gridinversedistance,MAX_POINTS,Maximum number of data points to use,number
gdal:gridinversedistance,MIN_POINTS,Minimum number of data points to use,number
gdal:gridinversedistance,NODATA,NODATA marker to fill empty points,number
gdal:gridinversedistance,OPTIONS,Additional creation options,string
gdal:gridinversedistance,EXTRA,Additional command-line parameters,string
gdal:gridinversedistance,DATA_TYPE,Output data type,enum
gdal:gridinversedistancenearestneighbor,INPUT,Point layer,source
gdal:gridinversedistancenearestneighbor,Z_FIELD,Z value from field,field
gdal:gridinversedistancenearestneighbor,POWER,Weighting power,number
gdal:gridinversedistancenearestneighbor,SMOOTHING,Smoothing,number
gdal:gridinversedistancenearestneighbor,RADIUS,The radius of the search circle,number
gdal:gridinversedistancenearestneighbor,MAX_POINTS,Maximum number of data points to use,number
gdal:gridinversedistancenearestneighbor,MIN_POINTS,Minimum number of data points to use,number
gdal:gridinversedistancenearestneighbor,NODATA,NODATA marker to fill empty points,number
gdal:gridinversedistancenearestneighbor,OPTIONS,Additional creation options,string
gdal:gridinversedistancenearestneighbor,EXTRA,Additional command-line parameters,string
gdal:gridinversedistancenearestneighbor,DATA_TYPE,Output data type,enum
gdal:gridlinear,INPUT,Point layer,source
gdal:gridlinear,Z_FIELD,Z value from field,field
gdal:gridlinear,RADIUS,Search distance ,number
gdal:gridlinear,NODATA,NODATA marker to fill empty points,number
gdal:gridlinear,OPTIONS,Additional creation options,string
gdal:gridlinear,EXTRA,Additional command-line parameters,string
gdal:gridlinear,DATA_TYPE,Output data type,enum
gdal:gridnearestneighbor,INPUT,Point layer,source
gdal:gridnearestneighbor,Z_FIELD,Z value from field,field
gdal:gridnearestneighbor,RADIUS_1,The first radius of search ellipse,number
gdal:gridnearestneighbor,RADIUS_2,The second radius of search ellipse,number
gdal:gridnearestneighbor,NODATA,NODATA marker to fill empty points,number
gdal:gridnearestneighbor,OPTIONS,Additional creation options,string
gdal:gridnearestneighbor,EXTRA,Additional command-line parameters,string
gdal:gridnearestneighbor,DATA_TYPE,Output data type,enum
gdal:hillshade,INPUT,Input layer,raster
gdal:hillshade,BAND,Band number,band
gdal:hillshade,AZIMUTH,Azimuth of the light,number
gdal:hillshade,ALTITUDE,Altitude of the light,number
gdal:hillshade,COMPUTE_EDGES,Compute edges,boolean
gdal:hillshade,COMBINED,Combined shading,boolean
gdal:hillshade,MULTIDIRECTIONAL,Multidirectional shading,boolean
gdal:hillshade,OPTIONS,Additional creation options,string
gdal:hillshade,EXTRA,Additional command-line parameters,string
gdal:hillshade,OUTPUT,Hillshade,rasterDestination
gdal:importvectorintopostgisdatabaseavailableconnections,INPUT,Input layer,source
gdal:importvectorintopostgisdatabaseavailableconnections,SHAPE_ENCODING,Shape encoding,string
gdal:importvectorintopostgisdatabaseavailableconnections,GTYPE,Output geometry type,enum
gdal:importvectorintopostgisdatabaseavailableconnections,A_SRS,Assign an output CRS,crs
gdal:importvectorintopostgisdatabaseavailableconnections,T_SRS,Reproject to this CRS on output ,crs
gdal:importvectorintopostgisdatabaseavailableconnections,S_SRS,Override source CRS,crs
gdal:importvectorintopostgisdatabaseavailableconnections,GEOCOLUMN,Geometry column name,string
gdal:importvectorintopostgisdatabaseavailableconnections,DIM,Vector dimensions,enum
gdal:importvectorintopostgisdatabaseavailableconnections,SIMPLIFY,Distance tolerance for simplification,string
gdal:importvectorintopostgisdatabaseavailableconnections,OVERWRITE,Overwrite existing table,boolean
gdal:importvectorintopostgisdatabaseavailableconnections,APPEND,Append to existing table,boolean
gdal:importvectorintopostgisdatabaseavailableconnections,ADDFIELDS,Append and add new fields to existing table,boolean
gdal:importvectorintopostgisdatabaseavailableconnections,INDEX,Do not create spatial index,boolean
gdal:importvectorintopostgisdatabaseavailableconnections,PROMOTETOMULTI,Promote to Multipart,boolean
gdal:importvectorintopostgisdatabaseavailableconnections,PRECISION,Keep width and precision of input attributes,boolean
gdal:importvectorintopostgisdatabaseavailableconnections,OPTIONS,Additional creation options,string
gdal:importvectorintopostgisdatabasenewconnection,INPUT,Input layer,source
gdal:importvectorintopostgisdatabasenewconnection,SHAPE_ENCODING,Shape encoding,string
gdal:importvectorintopostgisdatabasenewconnection,GTYPE,Output geometry type,enum
gdal:importvectorintopostgisdatabasenewconnection,A_SRS,Assign an output CRS,crs
gdal:importvectorintopostgisdatabasenewconnection,T_SRS,Reproject to this CRS on output ,crs
gdal:importvectorintopostgisdatabasenewconnection,S_SRS,Override source CRS,crs
gdal:importvectorintopostgisdatabasenewconnection,HOST,Host,string
gdal:importvectorintopostgisdatabasenewconnection,PORT,Port,string
gdal:importvectorintopostgisdatabasenewconnection,USER,Username,string
gdal:importvectorintopostgisdatabasenewconnection,DBNAME,Database name,string
gdal:importvectorintopostgisdatabasenewconnection,PASSWORD,Password,string
gdal:importvectorintopostgisdatabasenewconnection,SCHEMA,Schema name,string
gdal:importvectorintopostgisdatabasenewconnection,GEOCOLUMN,Geometry column name,string
gdal:importvectorintopostgisdatabasenewconnection,DIM,Vector dimensions,enum
gdal:importvectorintopostgisdatabasenewconnection,SIMPLIFY,Distance tolerance for simplification,string
gdal:importvectorintopostgisdatabasenewconnection,OVERWRITE,Overwrite existing table,boolean
gdal:importvectorintopostgisdatabasenewconnection,APPEND,Append to existing table,boolean
gdal:importvectorintopostgisdatabasenewconnection,ADDFIELDS,Append and add new fields to existing table,boolean
gdal:importvectorintopostgisdatabasenewconnection,INDEX,Do not create spatial index,boolean
gdal:importvectorintopostgisdatabasenewconnection,PROMOTETOMULTI,Promote to Multipart,boolean
gdal:importvectorintopostgisdatabasenewconnection,PRECISION,Keep width and precision of input attributes,boolean
gdal:importvectorintopostgisdatabasenewconnection,OPTIONS,Additional creation options,string
gdal:merge,INPUT,Input layers,multilayer
gdal:merge,PCT,Grab pseudocolor table from first layer,boolean
gdal:merge,SEPARATE,Place each input file into a separate band,boolean
gdal:merge,OPTIONS,Additional creation options,string
gdal:merge,EXTRA,Additional command-line parameters,string
gdal:merge,DATA_TYPE,Output data type,enum
gdal:merge,OUTPUT,Merged,rasterDestination
gdal:nearblack,INPUT,Input layer,raster
gdal:nearblack,WHITE,Search for nearly white pixels instead of nearly black,boolean
gdal:nearblack,OPTIONS,Additional creation options,string
gdal:nearblack,EXTRA,Additional command-line parameters,string
gdal:nearblack,OUTPUT,Nearblack,rasterDestination
gdal:offsetcurve,INPUT,Input layer,source
gdal:offsetcurve,GEOMETRY,Geometry column name,string
gdal:offsetcurve,OPTIONS,Additional creation options,string
gdal:offsetcurve,OUTPUT,Offset curve,vectorDestination
gdal:ogrinfo,INPUT,Input layer,vector
gdal:ogrinfo,SUMMARY_ONLY,Summary output only,boolean
gdal:ogrinfo,NO_METADATA,Suppress metadata info,boolean
gdal:ogrinfo,OUTPUT,Layer information,fileDestination
gdal:onesidebuffer,INPUT,Input layer,source
gdal:onesidebuffer,GEOMETRY,Geometry column name,string
gdal:onesidebuffer,DISTANCE,Buffer distance,distance
gdal:onesidebuffer,BUFFER_SIDE,Buffer side,enum
gdal:onesidebuffer,FIELD,Dissolve by attribute,field
gdal:onesidebuffer,DISSOLVE,Dissolve all results,boolean
gdal:onesidebuffer,EXPLODE_COLLECTIONS,Produce one feature for each geometry in any kind of geometry collection in the source file,boolean
gdal:onesidebuffer,OPTIONS,Additional creation options,string
gdal:onesidebuffer,OUTPUT,One-sided buffer,vectorDestination
gdal:overviews,INPUT,Input layer,raster
gdal:overviews,CLEAN,Remove all existing overviews,boolean
gdal:overviews,RESAMPLING,Resampling method,enum
gdal:overviews,FORMAT,Overviews format,enum
gdal:overviews,EXTRA,Additional command-line parameters,string
gdal:pansharp,SPECTRAL,Spectral dataset,raster
gdal:pansharp,PANCHROMATIC,Panchromatic dataset,raster
gdal:pansharp,RESAMPLING,Resampling algorithm,enum
gdal:pansharp,OPTIONS,Additional creation options,string
gdal:pansharp,EXTRA,Additional command-line parameters,string
gdal:pansharp,OUTPUT,Output,rasterDestination
gdal:pcttorgb,INPUT,Input layer,raster
gdal:pcttorgb,BAND,Band number,band
gdal:pcttorgb,RGBA,Generate a RGBA file,boolean
gdal:pcttorgb,OUTPUT,PCT to RGB,rasterDestination
gdal:pointsalonglines,INPUT,Input layer,source
gdal:pointsalonglines,GEOMETRY,Geometry column name,string
gdal:pointsalonglines,DISTANCE,Distance from line start represented as fraction of line length,number
gdal:pointsalonglines,OPTIONS,Additional creation options,string
gdal:pointsalonglines,OUTPUT,Points along lines,vectorDestination
gdal:polygonize,INPUT,Input layer,raster
gdal:polygonize,BAND,Band number,band
gdal:polygonize,FIELD,Name of the field to create,string
gdal:polygonize,EIGHT_CONNECTEDNESS,Use 8-connectedness,boolean
gdal:polygonize,EXTRA,Additional command-line parameters,string
gdal:polygonize,OUTPUT,Vectorized,vectorDestination
gdal:proximity,INPUT,Input layer,raster
gdal:proximity,BAND,Band number,band
gdal:proximity,VALUES,A list of pixel values in the source image to be considered target pixels,string
gdal:proximity,UNITS,Distance units,enum
gdal:proximity,MAX_DISTANCE,The maximum distance to be generated,number
gdal:proximity,REPLACE,Value to be applied to all pixels that are within the -maxdist of target pixels,number
gdal:proximity,NODATA,Nodata value to use for the destination proximity raster,number
gdal:proximity,OPTIONS,Additional creation options,string
gdal:proximity,EXTRA,Additional command-line parameters,string
gdal:proximity,DATA_TYPE,Output data type,enum
gdal:proximity,OUTPUT,Proximity map,rasterDestination
gdal:rastercalculator,INPUT_A,Input layer A,raster
gdal:rastercalculator,BAND_A,Number of raster band for A,band
gdal:rastercalculator,INPUT_B,Input layer B,raster
gdal:rastercalculator,BAND_B,Number of raster band for B,band
gdal:rastercalculator,INPUT_C,Input layer C,raster
gdal:rastercalculator,BAND_C,Number of raster band for C,band
gdal:rastercalculator,INPUT_D,Input layer D,raster
gdal:rastercalculator,BAND_D,Number of raster band for D,band
gdal:rastercalculator,INPUT_E,Input layer E,raster
gdal:rastercalculator,BAND_E,Number of raster band for E,band
gdal:rastercalculator,INPUT_F,Input layer F,raster
gdal:rastercalculator,BAND_F,Number of raster band for F,band
gdal:rastercalculator,NO_DATA,Set output nodata value,number
gdal:rastercalculator,RTYPE,Output raster type,enum
gdal:rastercalculator,OPTIONS,Additional creation options,string
gdal:rastercalculator,EXTRA,Additional command-line parameters,string
gdal:rastercalculator,OUTPUT,Calculated,rasterDestination
gdal:rasterize,INPUT,Input layer,source
gdal:rasterize,FIELD,Field to use for a burn-in value,field
gdal:rasterize,BURN,A fixed value to burn,number
gdal:rasterize,UNITS,Output raster size units,enum
gdal:rasterize,EXTENT,Output extent,extent
gdal:rasterize,NODATA,Assign a specified nodata value to output bands,number
gdal:rasterize,OPTIONS,Additional creation options,string
gdal:rasterize,DATA_TYPE,Output data type,enum
gdal:rasterize,INIT,Pre-initialize the output image with value,number
gdal:rasterize,INVERT,Invert rasterization,boolean
gdal:rasterize,EXTRA,Additional command-line parameters,string
gdal:rasterize,OUTPUT,Rasterized,rasterDestination
gdal:rasterize_over,INPUT,Input vector layer,source
gdal:rasterize_over,INPUT_RASTER,Input raster layer,raster
gdal:rasterize_over,FIELD,Field to use for burn in value,field
gdal:rasterize_over,ADD,Add burn in values to existing raster values,boolean
gdal:rasterize_over,EXTRA,Additional command-line parameters,string
gdal:rasterize_over_fixed_value,INPUT,Input vector layer,source
gdal:rasterize_over_fixed_value,INPUT_RASTER,Input raster layer,raster
gdal:rasterize_over_fixed_value,BURN,A fixed value to burn,number
gdal:rasterize_over_fixed_value,ADD,Add burn in values to existing raster values,boolean
gdal:rasterize_over_fixed_value,EXTRA,Additional command-line parameters,string
gdal:rearrange_bands,INPUT,Input layer,raster
gdal:rearrange_bands,OPTIONS,Additional creation options,string
gdal:rearrange_bands,DATA_TYPE,Output data type,enum
gdal:rearrange_bands,OUTPUT,Converted,rasterDestination
gdal:retile,INPUT,Input files,multilayer
gdal:retile,TILE_SIZE_X,Tile width,number
gdal:retile,TILE_SIZE_Y,Tile height,number
gdal:retile,OVERLAP,Overlap in pixels between consecutive tiles,number
gdal:retile,LEVELS,Number of pyramids levels to build,number
gdal:retile,SOURCE_CRS,Source coordinate reference system,crs
gdal:retile,RESAMPLING,Resampling method,enum
gdal:retile,DELIMITER,Column delimiter used in the CSV file,string
gdal:retile,OPTIONS,Additional creation options,string
gdal:retile,EXTRA,Additional command-line parameters,string
gdal:retile,DATA_TYPE,Output data type,enum
gdal:retile,ONLY_PYRAMIDS,Build only the pyramids,boolean
gdal:retile,DIR_FOR_ROW,Use separate directory for each tiles row,boolean
gdal:retile,OUTPUT,Output directory,folderDestination
gdal:rgbtopct,INPUT,Input layer,raster
gdal:rgbtopct,NCOLORS,Number of colors,number
gdal:rgbtopct,OUTPUT,RGB to PCT,rasterDestination
gdal:roughness,INPUT,Input layer,raster
gdal:roughness,BAND,Band number,band
gdal:roughness,COMPUTE_EDGES,Compute edges,boolean
gdal:roughness,OPTIONS,Additional creation options,string
gdal:roughness,OUTPUT,Roughness,rasterDestination
gdal:sieve,INPUT,Input layer,raster
gdal:sieve,THRESHOLD,Threshold,number
gdal:sieve,EIGHT_CONNECTEDNESS,Use 8-connectedness,boolean
gdal:sieve,NO_MASK,Do not use the default validity mask for the input band,boolean
gdal:sieve,MASK_LAYER,Validity mask,raster
gdal:sieve,EXTRA,Additional command-line parameters,string
gdal:sieve,OUTPUT,Sieved,rasterDestination
gdal:slope,INPUT,Input layer,raster
gdal:slope,BAND,Band number,band
gdal:slope,SCALE,Ratio of vertical units to horizontal,number
gdal:slope,AS_PERCENT,Slope expressed as percent instead of degrees,boolean
gdal:slope,COMPUTE_EDGES,Compute edges,boolean
gdal:slope,OPTIONS,Additional creation options,string
gdal:slope,EXTRA,Additional command-line parameters,string
gdal:slope,OUTPUT,Slope,rasterDestination
gdal:tileindex,LAYERS,Input files,multilayer
gdal:tileindex,PATH_FIELD_NAME,Field name to hold the file path to the indexed rasters,string
gdal:tileindex,ABSOLUTE_PATH,Store absolute path to the indexed rasters,boolean
gdal:tileindex,PROJ_DIFFERENCE,Skip files with different projection reference,boolean
gdal:tileindex,TARGET_CRS,Transform geometries to the given CRS,crs
gdal:tileindex,CRS_FIELD_NAME,The name of the field to store the SRS of each tile,string
gdal:tileindex,CRS_FORMAT,The format in which the CRS of each tile must be written,enum
gdal:tileindex,OUTPUT,Tile index,vectorDestination
gdal:tpitopographicpositionindex,INPUT,Input layer,raster
gdal:tpitopographicpositionindex,BAND,Band number,band
gdal:tpitopographicpositionindex,COMPUTE_EDGES,Compute edges,boolean
gdal:tpitopographicpositionindex,OPTIONS,Additional creation options,string
gdal:tpitopographicpositionindex,OUTPUT,Topographic Position Index,rasterDestination
gdal:translate,INPUT,Input layer,raster
gdal:translate,TARGET_CRS,Override the projection for the output file,crs
gdal:translate,NODATA,Assign a specified nodata value to output bands,number
gdal:translate,COPY_SUBDATASETS,Copy all subdatasets of this file to individual output files,boolean
gdal:translate,OPTIONS,Additional creation options,string
gdal:translate,EXTRA,Additional command-line parameters,string
gdal:translate,DATA_TYPE,Output data type,enum
gdal:translate,OUTPUT,Converted,rasterDestination
gdal:triterrainruggednessindex,INPUT,Input layer,raster
gdal:triterrainruggednessindex,BAND,Band number,band
gdal:triterrainruggednessindex,COMPUTE_EDGES,Compute edges,boolean
gdal:triterrainruggednessindex,OPTIONS,Additional creation options,string
gdal:triterrainruggednessindex,OUTPUT,Terrain Ruggedness Index,rasterDestination
gdal:viewshed,INPUT,Input layer,raster
gdal:viewshed,BAND,Band number,band
gdal:viewshed,OBSERVER,Observer location,point
gdal:viewshed,MAX_DISTANCE,Maximum distance from observer to compute visibility,distance
gdal:viewshed,OPTIONS,Additional creation options,string
gdal:viewshed,EXTRA,Additional command-line parameters,string
gdal:viewshed,OUTPUT,Output,rasterDestination
gdal:warpreproject,INPUT,Input layer,raster
gdal:warpreproject,SOURCE_CRS,Source CRS,crs
gdal:warpreproject,TARGET_CRS,Target CRS,crs
gdal:warpreproject,RESAMPLING,Resampling method to use,enum
gdal:warpreproject,NODATA,Nodata value for output bands,number
gdal:warpreproject,TARGET_RESOLUTION,Output file resolution in target georeferenced units,number
gdal:warpreproject,OPTIONS,Additional creation options,string
gdal:warpreproject,DATA_TYPE,Output data type,enum
gdal:warpreproject,TARGET_EXTENT,Georeferenced extents of output file to be created,extent
gdal:warpreproject,TARGET_EXTENT_CRS,CRS of the target raster extent,crs
gdal:warpreproject,MULTITHREADING,Use multithreaded warping implementation,boolean
gdal:warpreproject,EXTRA,Additional command-line parameters,string
gdal:warpreproject,OUTPUT,Reprojected,rasterDestination
grass7:i.albedo,input,Name of input raster maps,multilayer
grass7:i.albedo,output,Albedo,rasterDestination
grass7:i.albedo,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:i.aster.toar,output,Output Directory,folderDestination
grass7:i.aster.toar,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:i.atcorr,input,Name of input raster map,raster
grass7:i.atcorr,parameters,Name of input text file,file
grass7:i.atcorr,output,Atmospheric correction,rasterDestination
grass7:i.atcorr,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:i.biomass,fpar,Name of fPAR raster map,raster
grass7:i.biomass,output,Biomass,rasterDestination
grass7:i.biomass,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:i.cca,signature,File containing spectral signatures,file
grass7:i.cca,output,Output Directory,folderDestination
grass7:i.cca,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:i.cluster,input,Input rasters,multilayer
grass7:i.cluster,seed,Name of file containing initial signatures,file
grass7:i.cluster,iterations,Maximum number of iterations,number
grass7:i.cluster,convergence,Percent convergence,number
grass7:i.cluster,separation,Cluster separation,number
grass7:i.cluster,min_size,Minimum number of pixels in a class,number
grass7:i.cluster,signaturefile,Signature File,fileDestination
grass7:i.cluster,reportfile,Final Report File,fileDestination
grass7:i.cluster,GRASS_REGION_PARAMETER,GRASS GIS 7 region extent,extent
grass7:i.colors.enhance,red,Name of red channel,raster
grass7:i.colors.enhance,green,Name of green channel,raster
grass7:i.colors.enhance,blue,Name of blue channel,raster
grass7:i.colors.enhance,redoutput,Enhanced Red,rasterDestination
grass7:i.colors.enhance,greenoutput,Enhanced Green,rasterDestination
