algorithm,name,description,qgis_output_type
grass7:i.eb.eta,output,Evapotranspiration,outputRaster
grass7:i.eb.evapfr,evaporativefraction,Evaporative Fraction,outputRaster
grass7:i.eb.evapfr,soilmoisture,Root Zone Soil Moisture,outputRaster
grass7:i.eb.hsebal01.coords,output,Sensible Heat Flux,outputRaster
grass7:i.eb.netrad,output,Net Radiation,outputRaster
grass7:i.eb.soilheatflux,output,Soil Heat Flux,outputRaster
grass7:i.emissivity,output,Emissivity,outputRaster
grass7:i.evapo.mh,output,Evapotranspiration,outputRaster
grass7:i.evapo.pm,output,Evapotranspiration,outputRaster
grass7:i.evapo.pt,output,Evapotranspiration,outputRaster
grass7:i.evapo.time,output,Temporal integration,outputRaster
grass7:i.fft,real,Real part arrays,outputRaster
grass7:i.fft,imaginary,Imaginary part arrays,outputRaster
grass7:i.gensig,signaturefile,Signature File,outputFile
grass7:i.gensigset,signaturefile,Signature File,outputFile
grass7:i.group,group,Multiband raster,outputRaster
grass7:i.his.rgb,red,Red,outputRaster
grass7:i.his.rgb,green,Green,outputRaster
grass7:i.his.rgb,blue,Blue,outputRaster
grass7:i.ifft,output,Inverse Fast Fourier Transform,outputRaster
grass7:i.image.mosaic,output,Mosaic Raster,outputRaster
grass7:i.in.spotvgt,output,SPOT NDVI Raster,outputRaster
grass7:i.landsat.acca,output,ACCA Raster,outputRaster
grass7:i.landsat.toar,output,Output Directory,outputFolder
grass7:i.maxlik,output,Classification,outputRaster
grass7:i.maxlik,reject,Reject Threshold,outputRaster
grass7:i.modis.qc,output,QC Classification,outputRaster
grass7:i.oif,output,OIF File,outputFile
grass7:i.pansharpen,redoutput,Enhanced Red,outputRaster
grass7:i.pansharpen,greenoutput,Enhanced Green,outputRaster
grass7:i.pansharpen,blueoutput,Enhanced Blue,outputRaster
grass7:i.pca,output,Output Directory,outputFolder
grass7:i.rgb.his,hue,Hue,outputRaster
grass7:i.rgb.his,intensity,Intensity,outputRaster
grass7:i.rgb.his,saturation,Saturation,outputRaster
grass7:i.segment,output,Segmented Raster,outputRaster
grass7:i.segment,goodness,Goodness Raster,outputRaster
grass7:i.smap,output,Classification,outputRaster
grass7:i.smap,goodness,Goodness_of_fit,outputRaster
grass7:i.tasscap,output,Output Directory,outputFolder
grass7:i.topo.coor.ill,output,Illumination Model,outputRaster
grass7:i.topo.corr,output,Output Directory,outputFolder
grass7:i.vi,output,Vegetation Index,outputRaster
grass7:i.zc,output,Zero crossing,outputRaster
grass7:m.cogo,output,Output text file,outputFile
grass7:nviz,NA,NA,NA
grass7:r.basins.fill,output,Watersheds,outputRaster
grass7:r.blend.combine,output,Blended,outputRaster
grass7:r.blend.rgb,output_red,Blended Red,outputRaster
grass7:r.blend.rgb,output_green,Blended Green,outputRaster
grass7:r.blend.rgb,output_blue,Blended Blue,outputRaster
grass7:r.buffer,output,Buffer,outputRaster
grass7:r.buffer.lowmem,output,Buffer,outputRaster
grass7:r.carve,output,Modified elevation,outputRaster
grass7:r.carve,points,Adjusted stream points,outputVector
grass7:r.category,output,Category,outputRaster
grass7:r.category.out,html,Category,outputHtml
grass7:r.circle,output,Circles,outputRaster
grass7:r.clump,output,Clumps,outputRaster
grass7:r.coin,html,Coincidence report,outputHtml
grass7:r.colors,output_dir,Output Directory,outputFolder
grass7:r.colors.out,rules,Color Table,outputFile
grass7:r.colors.stddev,output,Stddev Colors,outputRaster
grass7:r.composite,output,Composite,outputRaster
grass7:r.contour,output,Contours,outputVector
grass7:r.cost,output,Cumulative cost,outputRaster
grass7:r.cost,nearest,Cost allocation map,outputRaster
grass7:r.cost,outdir,Movement directions,outputRaster
grass7:r.covar,html,Covariance report,outputHtml
grass7:r.cross,output,Cross product,outputRaster
grass7:r.describe,html,Categories,outputHtml
grass7:r.distance,html,Distance,outputHtml
grass7:r.drain,output,Least cost path,outputRaster
grass7:r.drain,drain,Drain,outputVector
grass7:r.fill.dir,output,Depressionless DEM,outputRaster
grass7:r.fill.dir,direction,Flow direction,outputRaster
grass7:r.fill.dir,areas,Problem areas,outputRaster
grass7:r.fill.stats,output,Output Map,outputRaster
grass7:r.fill.stats,uncertainty,Uncertainty Map,outputRaster
grass7:r.fillnulls,output,Filled,outputRaster
grass7:r.flow,flowline,Flow line,outputVector
grass7:r.flow,flowlength,Flow path length,outputRaster
grass7:r.flow,flowaccumulation,Flow accumulation,outputRaster
grass7:r.geomorphon,forms,Most common geomorphic forms,outputRaster
grass7:r.grow,output,Expanded,outputRaster
grass7:r.grow.distance,distance,Distance,outputRaster
grass7:r.grow.distance,value,Value of nearest cell,outputRaster
grass7:r.gwflow,output,Groundwater flow,outputRaster
grass7:r.gwflow,vx,Groundwater filter velocity vector part in x direction ,outputRaster
grass7:r.gwflow,vy,Groundwater filter velocity vector part in y direction ,outputRaster
grass7:r.gwflow,budget,Groundwater budget for each cell ,outputRaster
grass7:r.his,red,Red,outputRaster
grass7:r.his,green,Green,outputRaster
grass7:r.his,blue,Blue,outputRaster
grass7:r.horizon,output,Folder to get horizon rasters,outputFolder
grass7:r.horizon.height,html,Horizon,outputHtml
grass7:r.in.lidar,output,Lidar Raster,outputRaster
grass7:r.in.lidar.info,html,LAS information,outputHtml
grass7:r.info,html,Basic information,outputHtml
grass7:r.kappa,output,Error matrix and kappa,outputFile
grass7:r.lake,lake,Lake,outputRaster
grass7:r.latlong,output,LatLong,outputRaster
grass7:r.li.cwed,output,CWED,outputRaster
grass7:r.li.cwed.ascii,output_txt,CWED,outputFile
grass7:r.li.dominance,output,Dominance,outputRaster
grass7:r.li.dominance.ascii,output_txt,Dominance,outputFile
grass7:r.li.edgedensity,output,Edge Density,outputRaster
grass7:r.li.edgedensity.ascii,output_txt,Edge Density,outputFile
grass7:r.li.mpa,output,Mean Pixel Attribute,outputRaster
grass7:r.li.mpa.ascii,output_txt,Mean Pixel Attribute,outputFile
grass7:r.li.mps,output,Mean Patch Size,outputRaster
grass7:r.li.mps.ascii,output_txt,Mean Patch Size,outputFile
grass7:r.li.padcv,output,PADCV,outputRaster
grass7:r.li.padcv.ascii,output_txt,PADCV,outputFile
grass7:r.li.padrange,output,Pad Range,outputRaster
grass7:r.li.padrange.ascii,output_txt,Pad Range,outputFile
grass7:r.li.padsd,output,Patch Area SD,outputRaster
grass7:r.li.padsd.ascii,output_txt,Patch Area SD,outputFile
grass7:r.li.patchdensity,output,Patch Density,outputRaster
grass7:r.li.patchdensity.ascii,output_txt,Patch Density,outputFile
grass7:r.li.patchnum,output,Patch Number,outputRaster
grass7:r.li.patchnum.ascii,output_txt,Patch Number,outputFile
grass7:r.li.pielou,output,Pielou,outputRaster
grass7:r.li.pielou.ascii,output_txt,Pielou,outputFile
grass7:r.li.renyi,output,Renyi,outputRaster
grass7:r.li.renyi.ascii,output_txt,Renyi,outputFile
grass7:r.li.richness,output,Richness,outputRaster
grass7:r.li.richness.ascii,output_txt,Richness,outputFile
grass7:r.li.shannon,output,Shannon,outputRaster
grass7:r.li.shannon.ascii,output_txt,Shannon,outputFile
grass7:r.li.shape,output,Shape,outputRaster
grass7:r.li.shape.ascii,output_txt,Shape,outputFile
grass7:r.li.simpson,output,Simpson,outputRaster
grass7:r.li.simpson.ascii,output_txt,Simpson,outputFile
grass7:r.mapcalc.simple,output,Calculated,outputRaster
grass7:r.mask.rast,output,Masked,outputRaster
grass7:r.mask.vect,output,Masked,outputRaster
grass7:r.mfilter,output,Filtered,outputRaster
grass7:r.mode,output,Mode,outputRaster
grass7:r.neighbors,output,Neighbors,outputRaster
grass7:r.null,output,NullRaster,outputRaster
grass7:r.out.ascii,output,GRASS Ascii,outputFile
grass7:r.out.gridatb,output,GRIDATB,outputFile
grass7:r.out.mat,output,MAT File,outputFile
grass7:r.out.mpeg,output,MPEG file,outputFile
grass7:r.out.png,output,PNG File,outputFile
grass7:r.out.pov,output,Name of output povray file ,outputFile
grass7:r.out.ppm,output,PPM,outputFile
grass7:r.out.ppm3,output,Name for new PPM file,outputFile
grass7:r.out.vrml,output,VRML,outputFile
grass7:r.out.vtk,output,VTK File,outputFile
grass7:r.out.xyz,output,XYZ File,outputFile
grass7:r.param.scale,output,Morphometric parameter,outputRaster
grass7:r.patch,output,Patched,outputRaster
grass7:r.plane,output,Plane,outputRaster
grass7:r.profile,output,Profile,outputFile
grass7:r.proj,output,Reprojected raster,outputRaster
grass7:r.quant,output,Quantized raster,outputFolder
grass7:r.quantile,file,Quantiles,outputHtml
grass7:r.random,raster,Random raster,outputRaster
grass7:r.random,vector,Random vector,outputVector
grass7:r.random.cells,output,Random,outputRaster
grass7:r.random.surface,output,Random_Surface,outputRaster
grass7:r.reclass,output,Reclassified,outputRaster
grass7:r.reclass.area,output,Reclassified,outputRaster
grass7:r.recode,output,Recoded,outputRaster
grass7:r.regression.line,html,Regression coefficients,outputHtml
grass7:r.regression.multi,residuals,Residual Map,outputRaster
grass7:r.regression.multi,estimates,Estimates Map,outputRaster
grass7:r.regression.multi,html,Regression coefficients,outputHtml
grass7:r.relief,output,Output shaded relief layer,outputRaster
grass7:r.relief.scaling,output,Output shaded relief layer,outputRaster
grass7:r.report,output,Name for output file to hold the report,outputFile
grass7:r.resamp.bspline,output,Resampled BSpline,outputRaster
grass7:r.resamp.bspline,grid,Interpolation Grid,outputVector
grass7:r.resamp.filter,output,Resampled Filter,outputRaster
grass7:r.resamp.interp,output,Resampled interpolated,outputRaster
grass7:r.resamp.rst,elevation,Resampled RST,outputRaster
grass7:r.resamp.rst,slope,Slope raster,outputRaster
grass7:r.resamp.rst,aspect,Aspect raster,outputRaster
grass7:r.resamp.rst,pcurvature,Profile curvature raster,outputRaster
grass7:r.resamp.rst,tcurvature,Tangential curvature raster,outputRaster
grass7:r.resamp.rst,mcurvature,Mean curvature raster,outputRaster
grass7:r.resamp.stats,output,Resampled aggregated,outputRaster
grass7:r.resample,output,Resampled NN,outputRaster
grass7:r.rescale,output,Rescaled,outputRaster
grass7:r.rescale.eq,output,Rescaled equalized,outputRaster
grass7:r.rgb,red,Red,outputRaster
grass7:r.rgb,green,Green,outputRaster
grass7:r.rgb,blue,Blue,outputRaster
grass7:r.ros,base_ros,Base ROS,outputRaster
grass7:r.ros,max_ros,Max ROS,outputRaster
grass7:r.ros,direction_ros,Direction ROS,outputRaster
grass7:r.ros,spotting_distance,Spotting Distance,outputRaster
grass7:r.series,output,Aggregated,outputRaster
grass7:r.series.accumulate,output,Accumulated,outputRaster
grass7:r.series.interp,output_dir,Interpolated rasters,outputFolder
grass7:r.shade,output,Shaded,outputRaster
grass7:r.sim.sediment,transport_capacity,Transport capacity ,outputRaster
grass7:r.sim.sediment,tlimit_erosion_deposition,Transport limited erosion,outputRaster
grass7:r.sim.sediment,sediment_concentration,Sediment concentration ,outputRaster
grass7:r.sim.sediment,sediment_flux,Sediment flux ,outputRaster
grass7:r.sim.sediment,erosion_deposition,Erosion,outputRaster
grass7:r.sim.sediment,walkers_output,Name of the output walkers vector points layer,outputVector
grass7:r.sim.sediment,logfile,Name for sampling points output text file.,outputFile
grass7:r.sim.water,depth,Water depth ,outputRaster
grass7:r.sim.water,discharge,Water discharge ,outputRaster
grass7:r.sim.water,error,Simulation error ,outputRaster
grass7:r.sim.water,walkers_output,Name of the output walkers vector points layer,outputVector
grass7:r.sim.water,logfile,Name for sampling points output text file.,outputFile
grass7:r.slope.aspect,slope,Slope,outputRaster
grass7:r.slope.aspect,aspect,Aspect,outputRaster
grass7:r.slope.aspect,pcurvature,Profile curvature,outputRaster
grass7:r.slope.aspect,tcurvature,Tangential curvature,outputRaster
grass7:r.slope.aspect,dx,First order partial derivative dx ,outputRaster
grass7:r.slope.aspect,dy,First order partial derivative dy ,outputRaster
grass7:r.slope.aspect,dxx,Second order partial derivative dxx,outputRaster
grass7:r.slope.aspect,dyy,Second order partial derivative dyy,outputRaster
grass7:r.slope.aspect,dxy,Second order partial derivative dxy,outputRaster
grass7:r.solute.transport,output,Solute Transport,outputRaster
grass7:r.solute.transport,vx,Calculate and store the groundwater filter velocity vector part in x direction ,outputRaster
grass7:r.solute.transport,vy,Calculate and store the groundwater filter velocity vector part in y direction ,outputRaster
grass7:r.spread,output,Spread Time,outputRaster
grass7:r.spread,x_output,X Back Coordinates,outputRaster
grass7:r.spread,y_output,Y Back Coordinates,outputRaster
grass7:r.spreadpath,output,Backward least cost,outputRaster
grass7:r.statistics,routput,Statistics,outputRaster
grass7:r.stats,html,Statistics,outputHtml
grass7:r.stats.quantile.out,file,Statistics File,outputFile
grass7:r.stats.quantile.rast,output,Output Directory,outputFolder
grass7:r.stats.zonal,output,Resultant raster,outputRaster
grass7:r.stream.extract,stream_raster,Unique stream ids ,outputRaster
grass7:r.stream.extract,stream_vector,Unique stream ids ,outputVector
grass7:r.stream.extract,direction,Flow direction,outputRaster
grass7:r.sun.incidout,incidout,incidence angle raster map,outputRaster
grass7:r.sun.incidout,beam_rad,Beam irradiance ,outputRaster
grass7:r.sun.incidout,diff_rad,Diffuse irradiance ,outputRaster
grass7:r.sun.incidout,refl_rad,Ground reflected irradiance ,outputRaster
grass7:r.sun.incidout,glob_rad,Global ,outputRaster
grass7:r.sun.insoltime,insol_time,Insolation time ,outputRaster
grass7:r.sun.insoltime,beam_rad,Irradiation raster map ,outputRaster
grass7:r.sun.insoltime,diff_rad,Irradiation raster map ,outputRaster
grass7:r.sun.insoltime,refl_rad,Irradiation raster map ,outputRaster
grass7:r.sun.insoltime,glob_rad,Irradiance,outputRaster
grass7:r.sunhours,elevation,Solar Elevation Angle,outputRaster
grass7:r.sunhours,azimuth,Solar Azimuth Angle,outputRaster
grass7:r.sunhours,sunhour,Sunshine Hours,outputRaster
grass7:r.sunmask.datetime,output,Shadows,outputRaster
grass7:r.sunmask.position,output,Shadows,outputRaster
grass7:r.surf.area,html,Area,outputHtml
grass7:r.surf.contour,output,DTM from contours,outputRaster
grass7:r.surf.fractal,output,Fractal Surface,outputRaster
grass7:r.surf.gauss,output,Gaussian deviates,outputRaster
grass7:r.surf.idw,output,Interpolated IDW,outputRaster
grass7:r.surf.random,output,Random,outputRaster
grass7:r.terraflow,filled,Filled ,outputRaster
grass7:r.terraflow,direction,Flow direction,outputRaster
grass7:r.terraflow,swatershed,Sink,outputRaster
grass7:r.terraflow,accumulation,Flow accumulation,outputRaster
grass7:r.terraflow,tci,Topographic convergence index ,outputRaster
grass7:r.terraflow,stats,Runtime statistics,outputFile
grass7:r.texture,output,Texture files directory,outputFolder
grass7:r.thin,output,Thinned,outputRaster
grass7:r.tile,output,Tiles Directory,outputFolder
grass7:r.tileset,html,Tileset,outputHtml
grass7:r.to.vect,output,Vectorized,outputVector
grass7:r.topidx,output,Topographic index,outputRaster
grass7:r.topmodel,output,TOPMODEL output,outputFile
grass7:r.topmodel.topidxstats,outtopidxstats,TOPMODEL topographic index statistics file,outputFile
grass7:r.transect,html,Transect file,outputHtml
grass7:r.univar,output,Univariate results,outputFile
grass7:r.uslek,output,USLE R Raster,outputRaster
grass7:r.usler,output,USLE R Raster,outputRaster
grass7:r.viewshed,output,Intervisibility,outputRaster
grass7:r.volume,centroids,Centroids,outputVector
grass7:r.walk.coords,output,Cumulative cost,outputRaster
grass7:r.walk.coords,outdir,Movement Directions,outputRaster
grass7:r.walk.points,output,Cumulative cost,outputRaster
grass7:r.walk.points,outdir,Movement Directions,outputRaster
grass7:r.walk.rast,output,Cumulative cost,outputRaster
grass7:r.walk.rast,outdir,Movement Directions,outputRaster
grass7:r.water.outlet,output,Basin,outputRaster
grass7:r.watershed,accumulation,Number of cells that drain through each cell,outputRaster
grass7:r.watershed,drainage,Drainage direction,outputRaster
grass7:r.watershed,basin,Unique label for each watershed basin,outputRaster
grass7:r.watershed,stream,Stream segments,outputRaster
grass7:r.watershed,half_basin,Half,outputRaster
grass7:r.watershed,length_slope,Slope length and steepness ,outputRaster
grass7:r.watershed,slope_steepness,Slope steepness ,outputRaster
grass7:r.watershed,tci,Topographic index ln,outputRaster
grass7:r.watershed,spi,Stream power index a ,outputRaster
grass7:r.what.color,html,Colors file,outputHtml
grass7:r.what.coords,output,Raster Value File,outputFile
grass7:r.what.points,output,Raster Values File,outputFile
grass7:v.buffer,output,Buffer,outputVector
grass7:v.build.check,error,Topological errors,outputVector
grass7:v.build.polylines,output,Polylines,outputVector
grass7:v.class,html,Classification,outputHtml
grass7:v.clean,output,Cleaned,outputVector
grass7:v.clean,error,Errors,outputVector
grass7:v.cluster,output,Clustered,outputVector
grass7:v.db.select,file,Attributes,outputFile
grass7:v.decimate,output,Output vector map,outputVector
grass7:v.delaunay,output,Delaunay triangulation,outputVector
grass7:v.dissolve,output,Dissolved,outputVector
grass7:v.distance,from_output,Nearest,outputVector
grass7:v.distance,output,Distance,outputVector
grass7:v.drape,output,3D vector,outputVector
grass7:v.edit,output,Edited,outputVector
grass7:v.extract,output,Selected,outputVector
grass7:v.extrude,output,3D Vector,outputVector
grass7:v.generalize,output,Generalized,outputVector
grass7:v.generalize,error,Errors,outputVector
grass7:v.hull,output,Convex hull,outputVector
grass7:v.in.ascii,output,ASCII,outputVector
grass7:v.in.dxf,output,Converted,outputVector
grass7:v.in.e00,output,Name of output vector,outputVector
grass7:v.in.geonames,output,Geonames,outputVector
grass7:v.in.lidar,output,Lidar,outputVector
grass7:v.in.lines,output,Lines,outputVector
grass7:v.in.mapgen,output,Mapgen,outputVector
grass7:v.in.wfs,output,Converted,outputVector
grass7:v.info,html,Information report,outputHtml
grass7:v.kcv,output,Partition,outputVector
grass7:v.kernel.rast,output,Kernel,outputRaster
grass7:v.kernel.vector,output,Kernel,outputVector
grass7:v.lidar.correction,output,Classified,outputVector
grass7:v.lidar.correction,terrain,Only ,outputVector
grass7:v.lidar.edgedetection,output,Edges,outputVector
grass7:v.lidar.growing,output,Buildings,outputVector
grass7:v.mkgrid,map,Grid,outputVector
grass7:v.neighbors,output,Neighborhood,outputRaster
grass7:v.net,output,Network,outputVector
grass7:v.net.alloc,output,Network Alloction,outputVector
grass7:v.net.allpairs,output,Network_Allpairs,outputVector
grass7:v.net.bridge,output,Bridge,outputVector
grass7:v.net.centrality,output,Network Centrality,outputVector
grass7:v.net.components,output,Network_Components_Line,outputVector
grass7:v.net.components,output_point,Network_Components_Point,outputVector
grass7:v.net.connectivity,output,Network_Connectivity,outputVector
grass7:v.net.distance,output,Network_Distance,outputVector
grass7:v.net.flow,output,Network_Flow,outputVector
grass7:v.net.flow,cut,Network_Cut,outputVector
grass7:v.net.iso,output,Network_Iso,outputVector
grass7:v.net.nreport,output,NReport,outputHtml
grass7:v.net.path,output,Network_Path,outputVector
grass7:v.net.report,html,Report,outputHtml
grass7:v.net.salesman,output,Network_Salesman,outputVector
grass7:v.net.salesman,sequence,Output file holding node sequence,outputFile
grass7:v.net.spanningtree,output,SpanningTree,outputVector
grass7:v.net.steiner,output,Network Steiner,outputVector
grass7:v.net.timetable,output,Network Timetable,outputVector
grass7:v.net.visibility,output,Network Visibility,outputVector
grass7:v.normal,html,Normality,outputHtml
grass7:v.out.ascii,output,Name for output ASCII file or ASCII vector name if ,outputFile
grass7:v.out.dxf,output,DXF vector,outputFile
grass7:v.out.postgis,NA,NA,NA
grass7:v.out.pov,output,POV vector,outputFile
grass7:v.out.svg,output,SVG File,outputFile
grass7:v.out.vtk,output,VTK File,outputFile
grass7:v.outlier,output,Layer without outliers,outputVector
grass7:v.outlier,outlier,Outliers,outputVector
grass7:v.overlay,output,Overlay,outputVector
grass7:v.pack,output,Packed archive,outputFile
grass7:v.parallel,output,Parallel lines,outputVector
grass7:v.patch,output,Combined,outputVector
grass7:v.patch,bbox,Bounding boxes,outputVector
grass7:v.perturb,output,Perturbed,outputVector
grass7:v.proj,output,Output vector map,outputVector
grass7:v.qcount,output,Quadrats,outputVector
grass7:v.random,output,Random,outputVector
grass7:v.rast.stats,output,Rast stats,outputVector
grass7:v.reclass,output,Reclassified,outputVector
grass7:v.rectify,output,Rectified,outputVector
grass7:v.rectify,rmsfile,Root Mean Square errors file,outputFile
grass7:v.report,html,Report,outputHtml
grass7:v.sample,output,Sampled,outputVector
grass7:v.segment,output,Segments,outputVector
grass7:v.select,output,Selected,outputVector
grass7:v.split,output,Split by length,outputVector
grass7:v.surf.bspline,output,Output vector,outputVector
grass7:v.surf.bspline,raster_output,Interpolated spline,outputRaster
grass7:v.surf.idw,output,Interpolated IDW,outputRaster
grass7:v.surf.rst,elevation,Interpolated RST,outputRaster
grass7:v.surf.rst,slope,Slope,outputRaster
grass7:v.surf.rst,aspect,Aspect,outputRaster
grass7:v.surf.rst,pcurvature,Profile curvature,outputRaster
grass7:v.surf.rst,tcurvature,Tangential curvature,outputRaster
grass7:v.surf.rst,mcurvature,Mean curvature,outputRaster
grass7:v.surf.rst,deviations,Deviations,outputVector
grass7:v.surf.rst,treeseg,Quadtree Segmentation,outputVector
grass7:v.surf.rst,overwin,Overlapping Windows,outputVector
grass7:v.surf.rst.cvdev,cvdev,Cross Validation Errors,outputVector
grass7:v.to.3d,output,3D,outputVector
grass7:v.to.lines,output,Lines,outputVector
grass7:v.to.points,output,Points along lines,outputVector
grass7:v.to.rast,output,Rasterized,outputRaster
grass7:v.transform,output,Transformed,outputVector
grass7:v.type,output,Typed,outputVector
grass7:v.univar,html,Statistics,outputHtml
grass7:v.vect.stats,output,Updated,outputVector
grass7:v.voronoi,output,Voronoi,outputVector
grass7:v.voronoi.skeleton,output,Voronoi,outputVector
grass7:v.what.rast,output,Sampled,outputVector
grass7:v.what.vect,output,Updated,outputVector
native:addautoincrementalfield,OUTPUT,Incremented,outputVector
native:addfieldtoattributestable,OUTPUT,Added,outputVector
native:adduniquevalueindexfield,OUTPUT,Layer with index field,outputVector
native:adduniquevalueindexfield,SUMMARY_OUTPUT,Class summary,outputVector
native:addxyfields,OUTPUT,Added fields,outputVector
native:affinetransform,OUTPUT,Transformed,outputVector
native:aggregate,OUTPUT,Aggregated,outputVector
native:angletonearest,OUTPUT,Aligned layer,outputVector
native:antimeridiansplit,OUTPUT,Split,outputVector
native:arrayoffsetlines,OUTPUT,Offset lines,outputVector
native:arraytranslatedfeatures,OUTPUT,Translated,outputVector
native:aspect,OUTPUT,Aspect,outputRaster
native:assignprojection,OUTPUT,Assigned CRS,outputVector
native:atlaslayouttoimage,NA,NA,NA
native:atlaslayouttopdf,OUTPUT,PDF file,outputFile
native:bookmarkstolayer,OUTPUT,Output,outputVector
native:boundary,OUTPUT,Boundary,outputVector
native:boundingboxes,OUTPUT,Bounds,outputVector
native:buffer,OUTPUT,Buffered,outputVector
native:bufferbym,OUTPUT,Buffered,outputVector
native:calculatevectoroverlaps,OUTPUT,Overlap,outputVector
native:cellstatistics,OUTPUT,Output layer,outputRaster
native:cellstatistics,EXTENT,Extent,outputString
native:cellstatistics,CRS_AUTHID,CRS authority identifier,outputString
native:cellstatistics,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:cellstatistics,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:cellstatistics,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:centroids,OUTPUT,Centroids,outputVector
native:clip,OUTPUT,Clipped,outputVector
native:collect,OUTPUT,Collected,outputVector
native:combinestyles,OUTPUT,Output style database,outputFile
native:combinestyles,SYMBOLS,Symbol count,outputNumber
native:combinestyles,COLORRAMPS,Color ramp count,outputNumber
native:combinestyles,TEXTFORMATS,Text format count,outputNumber
native:combinestyles,LABELSETTINGS,Label settings count,outputNumber
native:converttocurves,OUTPUT,Curves,outputVector
native:convexhull,OUTPUT,Convex hulls,outputVector
native:countpointsinpolygon,OUTPUT,Count,outputVector
native:createattributeindex,OUTPUT,Indexed layer,outputVector
